chart;["soare", "dhuti", "chart"]
loyal;["soare", "liman", "yomps", "loyal"]
flirt;["soare", "fitch", "flirt"]
macho;["soare", "cloot", "macho"]
fancy;["soare", "clint", "fancy"]
furor;["soare", "cutin", "rifer", "furor"]
spunk;["soare", "thilk", "scarp", "spunk"]
aisle;["soare", "thump", "auloi", "aisle"]
flick;["soare", "clint", "flick"]
sixty;["soare", "thilk", "sixty"]
totem;["soare", "meynt", "totem"]
slimy;["soare", "thilk", "powin", "slimy"]
wordy;["soare", "cyton", "powin", "wordy"]
pearl;["soare", "lathy", "pearl"]
sheer;["soare", "newie", "sithe", "sheer"]
wooer;["soare", "rowth", "wooer"]
skiff;["soare", "thilk", "yomps", "skiff"]
basis;["soare", "linty", "gaols", "basis"]
muddy;["soare", "clint", "pudgy", "bodge", "muddy"]
chase;["soare", "teuch", "chase"]
silly;["soare", "thilk", "silly"]
pizza;["soare", "clint", "fauld", "pizza"]
geeky;["soare", "denet", "cloke", "geeky"]
front;["soare", "cutin", "front"]
piper;["soare", "direr", "fling", "powin", "piper"]
shrub;["soare", "butch", "shrub"]
plank;["soare", "clink", "spiff", "plank"]
porch;["soare", "cyton", "porch"]
parry;["soare", "march", "parry"]
biome;["soare", "pling", "bodge", "biome"]
scaly;["soare", "thilk", "yomps", "scaly"]
verge;["soare", "pudic", "verge", "verge"]
sworn;["soare", "nicht", "sworn"]
leper;["soare", "direr", "butyl", "powin", "leper"]
dingo;["soare", "clint", "bodge", "dingo"]
nosey;["soare", "powin", "nosey"]
conch;["soare", "culty", "maiko", "conch"]
cough;["soare", "culty", "bodge", "cough"]
scold;["soare", "cloot", "powin", "scold"]
sepia;["soare", "knelt", "sepia"]
reply;["soare", "direr", "peece", "reply"]
tempo;["soare", "lento", "tempo"]
lapel;["soare", "canal", "bight", "lapel"]
prone;["soare", "pownd", "prone"]
naive;["soare", "gault", "cumin", "naive"]
start;["soare", "kutch", "yomps", "start"]
amble;["soare", "gault", "yomps", "amble"]
shoal;["soare", "auloi", "shoal"]
stork;["soare", "chant", "yomps", "stork"]
spoil;["soare", "cloot", "spoil"]
bulge;["soare", "guilt", "powin", "bulge"]
savor;["soare", "savor"]
heart;["soare", "lathy", "heart"]
shady;["soare", "thilk", "shady"]
droop;["soare", "cutin", "gloop", "droop"]
shade;["soare", "thilk", "amped", "shade"]
bathe;["soare", "gault", "bathe"]
clamp;["soare", "clink", "clamp"]
plate;["soare", "glitz", "powin", "plate"]
hefty;["soare", "denet", "falaj", "hefty"]
bread;["soare", "talar", "cebid", "bread"]
greet;["soare", "direr", "pence", "greet"]
pupil;["soare", "clint", "midis", "pupil"]
bible;["soare", "guilt", "bible"]
goner;["soare", "rowth", "flick", "bodge", "goner"]
friar;["soare", "radar", "bodge", "friar"]
